Customer No.,Customer Name,Phone Number,Area Code,,
3649, Jabir Bin Mohd,90501953,A4 ,,
3104, Jassim Mohd. Rashid,99003027,A4 ,,
3594, Kanooz Al Bahar,97391838,A4 ,,
3485, Khamir International,71835829,A4 ,,
3495, Mahwar Sharq  S/C,97495776,A4 ,,
2468, Main Light Trading,92842362,A4 ,,
2373, Majees Mart,99034931,A4 ,,
2372, Masharia Qais Al Balouch C/S,96226523,A4 ,,
1022, Mathina Al Ikhlas,95933786,A4 ,,
3558, Mohd Riaz Trading,78548566,A4 ,,
3225, Murtfat AL Sadaf Trading,93965147,A4 ,,
3636, Naify Partner,96913042,A4 ,,
3509, Nakheel Suhar,91193250,A4 ,,
1747, Nasir Bin M.Rashid  Rastaurant LLC,78518824,A4 ,,
3465, Nasir Bin M.Rashid S/C,78518824,A4 ,,
3537, New Al Madina S/C,,A4 ,,
3640, Osama Bin Ahmed,97189256,A4 ,,
3655, Qama Al Sharq,78131967,A4 ,,
1229, Rashid Bin Saif Kabbi,99343159,A4 ,,
1366, Sadaf Shinas Shopping Centre,,A4 ,,
3641, Salim Bin Khalifa,90528521,A4 ,,
3628, Saqar Shinas,79822908,A4 ,,
3224, Sur Bani Humad Trading,72807897,A4 ,,
2798, Tayebat Autab,95654795,A4 ,,
3627, Village H/M,92609600,A4 ,,
3511, Zaeem Al Batna,94149264,A4 ,,
3607, Zamarad Al Sharq,98896250,A4 ,,
3232, 87 Market,97838988,A5 ,,
1541, Abu Adam S/C,78075677,A5 ,,
1504, Abu Lujain Al Sadi Trading,,A5 ,,
1283, Afaq Al Amaq Al Mumtaza Trade,99603482,A5 ,,
2939, Ajyal Al Labtikar Restaurant,92862556,A5 ,,
3669, Al Bahja Trading,7799676,A5 ,,
1319, Al Dar Resturant,,A5 ,,
1360, Al Ezza Hyper Market,,A5 ,,
1375, Al Jazeera Int. S/C LLC (Saham),,A5 ,,
1666, Al Kamashki Shopping Center,94230240,A5 ,,
3103, Al Khawlani Trading,78930123,A5 ,,
3674, Al Khazf Al Lame Restaurant,78999605,A5 ,,
3093, Al Makhni Rest (Hambr),71221448,A5 ,,
3004, Al Makkani Rest,92204849,A5 ,,
3488, Al Qandeel Trading,79847574,A5 ,,
3494, Al Reef Center,78692235,A5 ,,
2348, Al Suwaihara Rest,94593473,A5 ,,
2387, Al Suwaihara Rest # 2,,A5 ,,
3658, Al Tair Al Muhaliq,95385585,A5 ,,
3462, Ali Mohammad AL Mamri Trading,94437441,A5 ,,
3490, Arjawan Al Shimal 5,79753528,A5 ,,
3599, Aswar Hafeet Rest,93134683,A5 ,,
2994, Atheen Rest,71958968,A5 ,,
3615, Basateen Al Hadeeb,92026136,A5 ,,
3468, Bawabat Al Hadaeq,97066548,A5 ,,
3476, Bawabat Al Hadaeq # 2,79563034,A5 ,,
3575, Dream Palace S/C,97215492,A5 ,,
3604, Farsan Mazoon,94919400,A5 ,,
3028, G.N Shopping Centre (Majees),90731457,A5 ,,
3109, Ghalab Al Saadi # 2,94677935,A5 ,,
3567, GN Shopping Centre # 1,90731457,A5 ,,
1308, Hala H/M,96255202,A5 ,,
3469, Hashim Bin Hamdan,95389274,A5 ,,
3233, Jabal Al Batna,99003215,A5 ,,
3500, Junab Saham Restaurant,71661931,A5 ,,
1318, Kubba Hyper Market,92929197,A5 ,,
1523, Marhab Al Khair Trading,,A5 ,,
3668, Maryam Mool,99462878,A5 ,,
3517, Murtafat Liwa United,95522118,A5 ,,
3631, Nadeem Al Madi Rest,99483022,A5 ,,
3470, Naser Bin Salim,92943628,A5 ,,
3576, Nawakhdat A Muheed,97215492,A5 ,,
1115, Otab Restaurant,,A5 ,,
1728, Otab Resturant # 3,99164013,A5 ,,
3460, Rabou hillat Al Rawashed Trading,96255202,A5 ,,
2416 (008), Ramez International L.L.C,95271546,A5 ,,
3598, Ramooz Narjas,94020475,A5 ,,
2553, Reef Halab Rest,96618191,A5 ,,
2738, Reef Halab Rest,97509777,A5 ,,
3247, Remal Saham Trading,94491000,A5 ,,
2374, Saeed Hamid Mohammad,,A5 ,,
3592, Sahari Shamal,98675958,A5 ,,
3040, Sahul Al Mazan Trading,79803088,A5 ,,
1379, Said Bin Salem Obaid Barki,,A5 ,,
3650, Said Rashid,92589301,A5 ,,
3605, Shamas Saham,99189517,A5 ,,
3577, Shawaty AL Manyal,92611095,A5 ,,
3015, Shem Al Khair Trading,97476750,A5 ,,
3021, Star City Trading,71261924,A5 ,,
3516, Star Kubba S/C,77463526,A5 ,,
3638, Ume Dahna,93189762,A5 ,,
3281, Ward Al Basteen Trading,90122447,A5 ,,
3606, Zakria Bin Saeed Rest,98189121,A5 ,,
2276, Abu Luqman Al Bariki Trade,95572759,A6 ,,
3643, Adwa Al Hail,,A6 ,,
3656, Ajwa Al Hajer,96601602,A6 ,,
2013, Al Almas H/M,,A6 ,,
3544, Al Amir Trading,78431097,A6 ,,
1141, Al Basim Restaurant & Kitchen,99705686,A6 ,,
1310, Al Denar Hyper Market,,A6 ,,
1185, Al Hormuz H/M   (Khaboora),,A6 ,,
1076, Al Jahra Hyper Market,99467855,A6 ,,
1010, Al Jazeera Int. S/C    (Hafeet),95601477,A6 ,,
2007, Al Madina S/C,98510798,A6 ,,
3588, Al Madina S/C # 2,99363650,A6 ,,
2076, Al Madyaf Rest ( Hafeet),,A6 ,,
2460, Al Nawa H/M    (Hafeet),96168090,A6 ,,
3543, Aswar Wadi Hawasna,90680500,A6 ,,
2023, Badar Al Quraini Rest,,A6 ,,
3608, Farzan Al Ghubaira,92314546,A6 ,,
3609, Farzan Al Ghubaira # 2,72188383,A6 ,,
2002, Ghalib Al Saadi 2,,A6 ,,
3602, Hamas Al Naseem #2,93443620,A6 ,,
3521, Hamed Bin Ali,98310303,A6 ,,
3600, Hamed Khalfan,92168240,A6 ,,
3185, Hams Al Naseem Trading,93443620,A6 ,,
3522, Khmis Bin Abdullah,93189801,A6 ,,
3506, Mazen Bin Ali,79019278,A6 ,,
3566, Nabad ak Mustaqbil Rest,97813311,A6 ,,
3574, Rawabi Al Taybat,90702800,A6 ,,
1651, Riyah Al Khaboura Int Trade,96280940,A6 ,,
3610, Rubou Al Salam,90293804,A6 ,,
3203, Saham Al Dhabi,96124116,A6 ,,
3657, Sama Al Manqal,95821240,A6 ,,
3663, Sohwl Al Qasbia,90702928,A6 ,,
3597, Umm Rewan,92252924,A6 ,,
3489, Al Hikmani Investment,96491551,A6,,
1450, Abdul Rahman Al Mahrooji,96564694,B1 ,,
2042, Abdul Rehman Mehroo ji # 2,,B1 ,,
1583, Abraj Al Jizza Shoping Centre,96563065,B1 ,,
3614, Abu Aswa International,95316366,B1 ,,
3230, Abu Najeeb S/C # 2,96593926,B1 ,,
3248, Ajras Muscat,93886407,B1 ,,
3589, Ajwa Al Harm S/C,98064426,B1 ,,
3328, Al Ahid S/C,91222695,B1 ,,
2954, Al Harmain (Safety),96709901,B1 ,,
3429, Al Madeena Express,78387705,B1 ,,
1730, Al Majrah Hyper Market # 2,,B1 ,,
1166, Al Marooj S/C,,B1 ,,
1913, Al Marwa # 2,,B1 ,,
1142, Al Marwa Hyper Market,,B1 ,,
1558, Al Mjrah Cold Store # 1,,B1 ,,
1205, Al Muna Shopping Centre,,B1 ,,
2795, Al Osra Super Market,72343007,B1 ,,
2806, Al Rashid Hm,,B1 ,,
1316, AL SAFA AL TAONIYA L.L.C,,B1 ,,
1106, Al Sanoof Shopping Center,,B1 ,,
3453, Al Tariq S/C,94030644,B1 ,,
2977, Alma Super Market,97934409,B1 ,,
1833, Areen Shopping Centre,,B1 ,,
3496, Babil Hyper Market,,B1 ,,
3190, Barkat Al Aoud,93469082,B1 ,,
2827, Basateen Al Sedar # 2,78008297,B1 ,,
3555, Budget Investment LLC,91789267,B1 ,,
2722, Golden Palace,92872721,B1 ,,
3409, Kenz H/M,95948487,B1 ,,
1040, M Azhar Cash Sale,,B1 ,,
3590, Mazeed H/M,99345571,B1 ,,
3044, Midrar S/C,95904822,B1 ,,
3220, Nabras Majan,95354664,B1 ,,
1218, Nahida Diamond (halban),,B1 ,,
2171, Naseem Al Salaam  (Mabailah),,B1 ,,
1392, Oasis Al Khair United,,B1 ,,
1999, Office Sale,,B1 ,,
3317, Rabooh Al Wadi,94213825,B1 ,,
1444, Rimal Al Sumhan Restaurant,92445560,B1 ,,
1446, Sahwa S/C,95835499,B1 ,,
1270, Saja Al Lail Trading,,B1 ,,
1954, Salaam Cold Store,,B1 ,,
3399, Salaam Fresh H/M,98989744,B1 ,,
1451, Saud Suleman Al Jabri,97830467,B1 ,,
1213, Soulaf Cold Store,95819966,B1 ,,
3335, Touches Of Modern,98966804,B1 ,,
3298, Waqas int. Trading LLC,98947571,B1 ,,
3059, Zahrat Al jouri Leading Business,79642925,B1 ,,
1582, Zahrat Sur Trading,99075918,B1 ,,
3114, Zan H/M,98230927,B1 ,,
1614, Abu Abdullah Al Siyabi Restaurant,97806675,B2 ,,
1374, Ajwa Restaurant,,B2 ,,
2061, Ajwa Star Mabailah,,B2 ,,
3383, Al Aqila Trading,79289795,B2 ,,
3365, Al Asif Business,99441687,B2 ,,
3375, Al Ateeq S/C  2,95161508,B2 ,,
3421, Al Bariq Al Sahal,94010262,B2 ,,
2932, Al Fazal H/M,96962121,B2 ,,
3561, Al Mughassar Candles Trading,97104409,B2 ,,
1191, Al Rounaq Shopping Centre,77409122,B2 ,,
3090, Al Zaeem S/C,90998207,B2 ,,
1457, Ali Bin Abdullah Al Subaikhi Rest.,,B2 ,,
3554, Budget Investment LLC,91789267,B2 ,,
3426, Ghosan Al Salem Inv.,93280956,B2 ,,
1922, Golden Fanja,,B2 ,,
2495, Hill Palace C/S,90660114,B2 ,,
1070, Lulu Muscat Hypermarket LLC,,B2 ,,
3646, Mahar Hamed Trading,,B2 ,,
1650, Majlis Restaurant,94490046,B2 ,,
3238, Malik International,71820697,B2 ,,
3585, Midrar S/C # 2,98590005,B2 ,,
2674, Nasir Al Mulk S/C,99167086,B2 ,,
2487, Rajab H/M,,B2 ,,
1081, Shehnaz & Hussain Shopping,26884457,B2 ,,
1381, Starlight Restaraunt,,B2 ,,
1641, Tisha Shopping Center,,B2 ,,
1176, United Fawaris,91077863,B2 ,,
2853, Abu Faris Modern,90331517,B3 ,,
2513, Abu Mohammad Raydan Trading,96110908,B3 ,,
3382, Afaq Al Samhan Trading,79204364,B3 ,,
3265, Al Ameen Business,79858137,B3 ,,
1223, Al Amrah Hyper Market,,B3 ,,
3672, Al Amtathal Global S/C,92257922,B3 ,,
1285, Al Junaina Shopping Centre,99660835,B3 ,,
2789, Al Kher Land Business,99060159,B3 ,,
3172, Al Lewa S/C,,B3 ,,
1193, Al Raaz Shopping Center,96173962,B3 ,,
3129, Al Saqeea Hadetha,78554810,B3 ,,
3416, Arabian Desert For Investment,79187349,B3 ,,
3642, Ardh Al Aatha Al Shamila Trading,,B3 ,,
3048, Asad Khamis II,,B3 ,,
3047, Asad Khamis Trading,,B3 ,,
3293, Atheer Al Dahhra,79767452,B3 ,,
1272, Deirat Roses Shopping Center 2,,B3 ,,
1053, Dorat Al Musannah Restaurant,,B3 ,,
1878, Fakhmat Al Ikhtiar,,B3 ,,
1701, Freezer Shopping Center,,B3 ,,
3584, Halim Musharef,91379832,B3 ,,
1612, Icon Muscat LLC,98908154,B3 ,,
2096, Janoob Al Madina,,B3 ,,
3630, Kwakeb Al Sama,78379875,B3 ,,
3186, Liyali C/S,79016795,B3 ,,
3595, Malik International,,B3 ,,
1726, Modern Beginning S/C,,B3 ,,
2728, Muhammad Riaz,91740627,B3 ,,
3397, Muscat C/S,,B3 ,,
3396, New Asia Rest,92943397,B3 ,,
3333, Prince Prestage,93347314,B3 ,,
3361, Progress Path,95592046,B3 ,,
3368, Ramooz Al Narjis Trading,79700131,B3 ,,
3654, Rehmat Allah LLC,96131380,B3 ,,
2922, Rihan International,90902971,B3 ,,
2868, Shym Al Rumais,92892914,B3 ,,
2383, Zad Al Rumais,,B3 ,,
3077, Abu Sufyan S/C,95577698,B4  ,,
3079, Rimal Trading,96627013,B4  ,,
3006, Abdullah Bin Ali Restaurant,99737883,B4 ,,
2588, Abraj Al Mawali,90146151,B4 ,,
3548, Abu Hasham Modern Project,90548590,B4 ,,
1874, Abu Yahya Al Awaisi Trading,,B4 ,,
3549, Al Awabi Creativer Business,99661590,B4 ,,
1652, Al Hazarmi Shopping Center,96168640,B4 ,,
1347, Al Liwa Shopping Center,,B4 ,,
3406, Al Safeer Rest # 2,95442255,B4 ,,
2913, Al Safeer Restaurant,9424228,B4 ,,
2702, Al Shamil S/C,94550340,B4 ,,
2127, Al Shoaibi Partnership Rest,,B4 ,,
1071, Al Wasit Trading,,B4 ,,
3254, Anwar Bin Khalfan,95968932,B4 ,,
2793, Areej Muslimat Trading,99626287,B4 ,,
1100, Daroob Barka Trading,,B4 ,,
3560, Ewan Al Abyadh Int.,91210231,B4 ,,
2466, Hafed S/C (awabi),93658212,B4 ,,
3467, Hamed Said Al Siyani Trade,92200770,B4 ,,
1845, Khalil Projects Development,,B4 ,,
3245, Lazaz C/S,90835950,B4 ,,
3204, Madina Al Dabab,93359579,B4 ,,
3148, Makkah H/M,26810682,B4 ,,
1021, Makkah Hyper Market,,B4 ,,
3180, Manar Al Town Trading,99336788,B4 ,,
3136, Mthlath Al Batnah,78735971,B4 ,,
1341, Muasast Tabyan Al Mashaire Trading,9813883,B4 ,,
2931, Murtafath Nakhal S/C,98772715,B4 ,,
2082, Nahida S/C,,B4 ,,
1298, New Sur Bahla,,B4 ,,
1269, Noor Barka Shopping Centre,96676025,B4 ,,
3311, Pulse of Luxury Restaurant,94445414,B4 ,,
2194, Sahwa S/C,95835499,B4 ,,
2948, Sarab Ruwi,79040190,B4 ,,
3563, Shmal Al Qarteen LLC,93778273,B4 ,,
1293, Stop & Shop H/M (Nakhal),,B4 ,,
3667, Talal Sony Cold Store,96168640,B4 ,,
2958, Wahat Al Khair,95774778,B4 ,,
1390, Abu Zayed Al Kindi,,B5 ,,
1574, Ahmad Al Quri,90146151,B5 ,,
1207, Ahmed Al Shuaibi,98989106,B5 ,,
1224, Al Badar Shopping Center,,B5 ,,
1915, Al Barwani C/S,,B5 ,,
2512, Al Hajar Al Rasasi,99111335,B5 ,,
2979, Al Marwan Al Falahi,93062612,B5 ,,
2081, Al Marwan S/C,,B5 ,,
1152, Al Maysam Trad,,B5 ,,
1245, Al Qurha Shopping Centre,,B5 ,,
3307, Altot Al Motkamal Trading,95842408,B5 ,,
3345, Amna Bint Talib,94242277,B5 ,,
2949, Ateer Al Khera Rest,78959875,B5 ,,
1617, Attar Hafri Shopping Center,,B5 ,,
2585, Baradat Al Aneq,99051046,B5 ,,
3562, Barwaz Muscat,95272807,B5 ,,
3184, Bawabat Al Shrq,,B5 ,,
3305, Chef Osama Kitchen,99279129,B5 ,,
2072, Easy S/C II,,B5 ,,
1828, Easy Shopping Centre,99649542,B5 ,,
3030, Emerald Modern Markets LLC,96568445,B5 ,,
3176, Jalmar Al Arabia LLC,90170855,B5 ,,
1315, Khatau Ratancy,26882093,B5 ,,
2972, MD Mehedi Trading,79717760,B5 ,,
3253, Muhammad Sohail Trading,78627580,B5 ,,
3142, Noor Al Hilall Trading,78184998,B5 ,,
2232, Prince C/S,97145506,B5 ,,
2688, Qysr AL Rumais,96969252,B5 ,,
3196, Rabu Barka Golden,92979966,B5 ,,
2257, Rawaya Al Taj,,B5 ,,
2444, Sahar Al Shariq,,B5 ,,
Customer no.,,Phone,Name,,
3434, Saleh Bin Ahmed,97229350,B5 ,,
2423, Shamookh Al Zaman,94547366,B5 ,,
3570, Special Muscat C/S,98887722,B5 ,,
2464, Taj Al Ritaj C/S,95208282,B5 ,,
1327, Talal Shopping Center,,B5 ,,
1748, Talal Shopping Center # 2,,B5 ,,
3394, Zahrat Al Ayam,99379173,B5 ,,
2250, Ajwa Seeb,,B6 ,,
1820, Al Barwani Project,,B6 ,,
3045, Al Batnah United,99238552,B6 ,,
3277, Al Bustan Quick S/C,95758745,B6 ,,
3198, Al Kifaya Al Masia Trading,78174296,B6 ,,
1222, Al Qoot H/M (Mabailah),98900075,B6 ,,
3219, Asala Barka # 2,78082150,B6 ,,
2936, Fajar Al Ghasab,94176200,B6 ,,
3436, Fawaris United Capital,98481949,B6 ,,
3010, Hill Palace Al Hill Trading,,B6 ,,
3350, Kherat Al Sawadi,95786310,B6 ,,
3419, Makkah H/M     (Dragan Mart),,B6 ,,
2959, Multka Al Shamal Rest,91454007,B6 ,,
3373, Rawabi Qartaba Trading,79337806,B6 ,,
3282, Salim Bin Ali,78256139,B6 ,,
3502, Seoul Barka Restaurant,95339152,B6 ,,
3049, Shamookh Al Zaman II,,B6 ,,
2287, Somou S/C,,B6 ,,
1343, Al Ateeq  S/C,95161508,B7 ,,
1623, Al Damis National LLC,,B7 ,,
1268, Al Flaij Cold Store,98434848,B7 ,,
1164, Al Mukaram Kitchen,95984894,B7 ,,
2879, Asala Barka Trading,97834012,B7 ,,
1246, Deirat Roses Shopping Centre,,B7 ,,
3177, Dheqar Rest,99841935,B7 ,,
2689, Mawahb Al harm,95992847,B7 ,,
3493, Muhammad Nazmul # 2,97146151,B7 ,,
3144, Muhammad Nazmul Trading,90790840,B7 ,,
1208, Nahida United LLC,99438636,B7 ,,
2492, Naseem Al Bahar Rest,96084386,B7 ,,
1871, Nasir Hamid,,B7 ,,
1559, Oscar Al Rumais Shopping Centre,,B7 ,,
2978, Qyser Al Rumais II,94701433,B7 ,,
2866, Saqr Dama,99160720,B7 ,,
1893, Silver City Coral Shopping Centre,,B7 ,,
1891, Tareeq Al Ghaid Restuarant,,B7 ,,
2266, Thayir al Nouras S/C,,B7 ,,
3300, Abna Fraish,99016099,D1 ,,
2322, Abu Khalid Hajed,,D1 ,,
3386, Abu Mees 2,71758401,D1 ,,
3539, Afaq Restaurant,98014531,D1 ,,
3519, Al Afaq Rest,98014531,D1 ,,
1635, Al Ezza Hyper Market,95094782,D1 ,,
2057, Al Habbas S/C,,D1 ,,
3457, Al Habsi S/C,99037690,D1 ,,
3545, Al Jabri Rest,93914468,D1 ,,
1075, Al Karama Hyper Market,25351362,D1 ,,
3159, Al Mufoon H/M,96004988,D1 ,,
1064, Al Qasmi Rest,,D1 ,,
3287, Al Qataf Al Dania,99553726,D1 ,,
3299, Al Rafada Trading,91079067,D1 ,,
2406, Al Telha S/C,79592931,D1 ,,
3284, Al Wussam C/S,96150105,D1 ,,
3565, Arabian Ghazal Rest,,D1 ,,
3405, Assad Bin Hamid,79279625,D1 ,,
3660, Badar S/C,99720541,D1 ,,
3285, Bid Bid H/M,92107980,D1 ,,
3321, Bright Moon Int.,96516656,D1 ,,
1906, Business Investment,,D1 ,,
2841, Capital Restaurant,78119122,D1 ,,
3664, City Mart,,D1 ,,
1202, Darwaish Bin Muftah,,D1 ,,
3443, Dastor Al Samail,91188946,D1 ,,
1349, Dawrak Das & Partners,99321093,D1 ,,
2781, Deeya Bid Bid,98977884,D1 ,,
3286, Durrat Sadeen,79277577,D1 ,,
3269, Express Line H/M,79247610,D1 ,,
3002, Ibka Al Feha Resturant,72684046,D1 ,,
3226, Ibrahim Khaleel Restaurant,72633644,D1 ,,
3341, Liyali Al Dakhlia,94912159,D1 ,,
3518, Madhabi Al Rasiyat Rest,93900934,D1 ,,
3264, Minarat Sumail Trading,95121220,D1 ,,
3283, Murtafat Al Rehab   (Bid Bid),99252049,D1 ,,
3329, Naba Al Shihama,92477088,D1 ,,
3364, Naseem Al Imtiaz Rest,,D1 ,,
2380, Qalib Smail C/S,,D1 ,,
3412, Saif Bin Mattar AL Amri,,D1 ,,
3486, Saoud Abdul Rehman,24510549,D1 ,,
2360, Sinsila Middle East  (Al Fouz),,D1 ,,
1683, Sons Of Shamis,,D1 ,,
3258, Tala Al Melaz Restaurant  (Sumail),79322754,D1 ,,
2424, Waqas Cash Sale,,D1 ,,
3387, Yaqoob Bin Hail,97449259,D1 ,,
2296, Abdul Rub S/C,,D2 ,,
1824, Abn Freish # 2,,D2 ,,
1008, Abn Freish Sons Catering,99016099,D2 ,,
3274, Abu Al Hassain,79855139,D2 ,,
3616, Abu Nabila Project,97001855,D2 ,,
3447, Abu Rehma S/C,79797461,D2 ,,
2489, Al Bait Al Raqi Rest,79055405,D2 ,,
3275, Al Hadi S/C,78504323,D2 ,,
2763, Al Hina S/C # 2,79760352,D2 ,,
3296, Al Jama H/M,91193170,D2 ,,
3276, Al Khoud Village,94827846,D2 ,,
3151, Al Majid C/S,78743526,D2 ,,
3343, Al Mardi Al Watinia,78966983,D2 ,,
3573, Al Marjan Trading,95338278,D2 ,,
3207, Al Mazin Trading,94884337,D2 ,,
3371, AL Nida H/M,90654307,D2 ,,
1254, Al Qoot  hyper Market (Al Hail),,D2 ,,
3026, AL Rihab S/C,95041973,D2 ,,
3316, Al Roudha S/C,92144409,D2 ,,
3557, Al Sahba Rest,79570054,D2 ,,
2469, Al Tasneem S/C,95418833,D2 ,,
3205, Amjad Dahlia C/S,78183034,D2 ,,
1296, Amwaj Al Hail S/C,,D2 ,,
3645, Arab Sweets,79133000,D2 ,,
3448, Asas Nizwa C/S,97184442,D2 ,,
2229, Aseel Global S/C,,D2 ,,
2092, Aseel S/C,,D2 ,,
3171, Bab Al Yaman Rest,92069975,D2 ,,
3372, Babil Express,97743800,D2 ,,
1273, Babil Hyper Market,,D2 ,,
3323, Babil Mart,,D2 ,,
3459, Bessan S/C,79457752,D2 ,,
3553, Budget Investment LLC,91789267,D2 ,,
